English	Английська
2001539196	Перемотування часу
2074698804	Виконати одиночний
1029285209	{0}/{1} використано збереження
1680649526	Без збереження!
422895194	Вбивство зверху
617453 Приголомшливий стрибок
2127570168	Натисніть {0}, щоб поміняти навички
789822849	Продовжити
901096514	Виконати
44714549	Зповна (лише Гектор)
1351320459	+{0} (лише Ізабель)
60305594	Пірнання
2000969630	Зв'язати
635175699	Останнє збереження:
225439770	НАВЧАЛЬНІ ПОСІБНИКИ
61553626	Огляд
1564195777	Нокаут
2066401617	Вилікувати
1669220735	Змінити персонажа
1622650625	НАЗАД
1770561895	ТАК
2074094913	НІ
1895473994	УВАГА!
1616262428	Скинути все
1751646158	Натисніть {0}, щоб почати
1417345817	ПРОДОВЖИТИ
540295136	ЗАВАНТАЖИТИ
1718974128	НАЛАШТУВАННЯ
2095129783	Вибір місії
921695462	DLC
722272055	Увмк.
1880743921	Вимк.
1296485339	Тіні
1373413817	Роздільна здатність текстури
1360711769	Увімкнути або вимкнути тіні.
1916906986	Збільшення або зменшення рівня згладжування.
289642533	Збільшити або зменшити роздільну здатність текстури.
148167890	2×
751714715	4×
723357853	8×
543329642	Гучність
1806164857	Гучність музики
193405480	SFX
2076792662	Гучність голосів
506360498	Збільшення або зменшення загальної гучності гри.
636360512	Збільшити або зменшити гучність музики в грі.
719162085	Збільшення або зменшення гучності звукових ефектів.
1496215659	Збільшення або зменшення гучності голосів персонажів.
1205484016	ЗНАЧКИ
383018457	Складність
1545645000	Початківець
1038468303	Нормальна
626473240	Важка
282651035	Так
520483897	Ні
727564207	ГРАТИ
614197672	ЗБЕРЕГТИ
1886644729	Головне меню
256619881	ПАУЗА
327085024	ШВИДКИЙ СПИСОК
1630446124	{0} сьогодні
499301031	{0} хв. тому
1535055933	{0}хв {1}с тому
375658126	ПЕРЕЗАПИСАТИ
919197944	ЗАВАНТАЖЕННЯ
1273710227	ВИХІД З ГРИ
1261996133	ПЕРЕЗАПУСК
1680915354	Вийти з гри?
1228739812	ШВИДКЕ ЗАВАНТАЖЕННЯ
194751495	ВІДЕО
742750455	ІГРОЛАД
427002912	АУДІО
435550555	УПРАВЛІННЯ
1956330395	АВТОРИ
876312009	РОЗРОБКА
486633304	Нагадування збереження
367072283	Увімкає нагадування про збереження у верхній частині екрана./nТакож регулює час, через який нагадування знову з’являється після останнього збереження.
904565450	Субтитри НПС
1016841846	Увімкає субтитри для НПС в ігровому світі.
1140205606	Перемкнути маркер
612494481	Субтитри
357458454	Мова діалогів
1830301241	Визначає, як довго маркер залишатиметься активним:/nВимк: залишається активним протягом кількох секунд./nУвмк: залишається активним, доки не буде вимкнено.
1442293416	Відрегулюйте повзунок гами так, щоб ви могли розрізняти всі кроки градієнтної текстури й майже не бачили пістолета ліворуч.
1093446963	СКИДАННЯ ГРИ
604412219	Це скине налаштування гри. Ви втратите весь прогрес місії, збереження ігор і розблоковані значки. Ваші налаштування відео, аудіо, ігрового процесу та користувацькі шаблони введення НЕ буде скинуто. Ви бажаєте продовжити?
215104258	Клавіатура
1327985646	Швидкість камери
405449256	Швидкість прицілювання контролера
1606175245	Порогове значення осі контролера
600213007	Налаштовує поріг для розпізнавання руху осі контролера.
824998259	Прокручування меж камери
666387157	Перемкнути перемотування вперед
1162764950	КАТСЦЕНА
1225642196	Хочете ще раз переглянути ролик?
1718054198	Швидке збереження
234100204	Звичайне збереження
738261692	Застарілий файл збереження!
753130424	НОВА ГРА
1238399001	ПІДТВЕРДИТИ
1063145121	Почати нову гру?
1171586678	ВИДАЛИТИ
620746292	Видалити збереження? {0}
66585026	Добре
1382966912	Авто-стійка
2021839866	Визначає, чи персонажі автоматично встають після подвійного клацання.
102014301	Далі
48274808	Закрити
1637075804	ІНФОРМАЦІЯ
871894210	ПРИХОВАТИ
299223502	Місія провалена
534861306	Виберіть файл для завантаження
1290710887	Розділльна здатність
592999434	Відстань тіні
30989482	Низький
897119853	Середній
1371281051	Висока
102567943	Відображення води
1877893628	Автодіалог
2009175530	Повний
429141927	Половина
876302356	кв
9527696	Восьме
1609646037	Завантажити збереження?
915383769	Складність для початківців вимагає продуманого підходу, але має певний запас на помилку. Вороги реагують повільніше і менш агресивні. Ваші персонажі мають більше здоров’я./n/nПРИМІТКА: наполегливо рекомендується для тих, хто тільки починає або нещодавно повертається до жанру тактики в реальному часі.
1332767595	Збалансована складність. Вороги швидко реагують. Ваші персонажі мають помірний рівень здоров’я./n/nПРИМІТКА: Рекомендовано для гравців, які знайомі з жанром тактики в реальному часі (RTT).
84533367	Важка складність підходить для тих, хто добре знає механіку тактики в реальному часі (RTT). Вороги реагують практично миттєво і більш агресивні. У ваших персонажів менше здоров’я./n/nПРИМІТКА: Рекомендовано для ветеранів жанру тактики в реальному часі.
995994767	V-Sync
1700288794	Не синхронізувати
169915306	Повна частота оновлення
1506251381	Половина частоти оновлення
74011557	Анізотропна фільтрація
1269150780	На весь екран
926514941	Якість
658779970	Низька
1134711718	Середня
1132577025	Висока
904257921	Користувацька
1374150836	Навколишня оклюзія
8811852	Згладжування
1848427170	Режим дальтоніка
431050512	Помилка збереження
1338371785	Під час збереження сталася помилка.
50685828	Завантаження
462364397	Збереження
1753630574	Більше ігор
1920816122	Попередній
312686700	Увімкнути режим дальтоніка.
175092334	Визначає, чи автоматично розгортається діалог під час інструктажів.
2119128132	Регулює силу контурів для персонажів та інтерактивних об’єктів.
1770522976	Сила контурів
903136842	Слабкий
214647730	Середній
1939756145	Сильний
475868445	Гама-корекція
1552857310	Регулює видимість ворожих кутів огляду.
1320655516	Кут огляду
1362801099	Ця збережена гра застаріла. Завантажити його буде неможливо на останній версії гри. Ми просимо вибачення за незручності.
595402552	Виберіть мову діалогів.
1894310156	Будь ласка, виберіть бажану мову діалогів. Ви завжди зможете змінити це налаштування в меню параметрів.
1031410729	Підтвердити
1175167657	Налаштування змінено. Застосувати зміни?
1937172350	Це збереження створено на іншому рівні. Завантаження призведе до виходу з поточного рівня. Весь незбережений прогрес буде втрачено! Продовжити?
692943060	Режим динаміка
1727566288	Виберіть, який режим динаміка ви хочете використовувати. Ця опція доступна лише в головному меню.
2012998024	Поворот камери
1154410071	Збільшення камери
1062301022	Вісь X камери
122559663	Вісь Y камери
444678528	Перетягніть вісь X камери
1512099547	Перетягніть вісь Y камери
724136998	Наведення осі Х
1114573338	Наведення по осі Y
415969457	Перевернутий
888640053	Нормальний
469052433	Контролер відключено
1024292908	Повторно підключіть контролер або натисніть {0} на іншому підключеному контролері.
1072918770	Вібрація
510496150	Увімкає вібрацію бездротового контролера.
1726656013	Завантаження збережених даних користувача
604825608	Збережена гра пошкоджена
1072627118	Файл, який ви намагалися завантажити, пошкоджений і буде перезаписаний налаштуваннями за замовчуванням.
2074534947	ДАНІ КОРИСТУВАЧА
495479490	Бездротовий контролер відключено
1564185545	Недостатньо місця на диску. Будь ласка, звільніть більше місця, щоб зберегти гру.
208516596	пошкоджено
1080011117	ЗМІНЕННЯ КОРИСТУВАЧА
1615693186	Не вимикайте систему PlayStation®4, поки відображається цей символ.
653665833	Будь ласка, не закривайте гру, не призупиняйте гру та не вимикайте консоль Xbox One, поки відображається цей символ.
1801035418	Будь ласка, не закривайте гру, поки відображається цей символ.
1308428726	Не вдалося ініціалізувати сховище. Щоб грати, вам потрібен підключений простір для зберігання.
1459825798	Спробуйте ще раз
1825071464	Ваша остання збережена гра застаріла або пошкоджена. Бажаєте перезапустити поточну місію?
906613780	Ви досягли максимальної кількості збережених ігор. Видаліть або перезапишіть існуючу збережену гру. Примітка. Швидкі збереження не враховуються в цей ліміт.
2114202035	Повторно підключіть свій бездротовий контролер або скористайтеся іншим підключеним бездротовим контролером і перейдіть до користувача, який запустив програму.
962072658	Збереження: будь ласка, не закривайте гру, не призупиняйте гру та не вимикайте консоль Xbox One, поки відображається цей символ.
1499250081	Збереження: не вимикайте систему PlayStation®4, поки відображається цей символ.
352385758	Збереження: Будь ласка, не закривайте гру, поки відображається цей символ.
488026919	Відвідайте сторінку нашого магазину, якщо ви хочете придбати {0}
289232529	Перейдіть до Microsoft Store
1024096936	Перейдіть до PlayStation™Store
1609842196	Під час завантаження сталася помилка.
1893923580	Вибачте. Щось пішло не так.
339664616	Десперадо
2136073159	Десперадо складність, яка вимагає ідеального планування та виконання. У ворогів блискавичні рефлекси. У персонажів майже немає здоров'я та патронів./n/nПРИМІТКА: НЕ РЕКОМЕНДУЄТЬСЯ ДЛЯ ПЕРШОГО ПРОХОДЖЕННЯ, незалежно від навичок гравця.
1627962200	Активний контролер
1637947761	Виберіть контролер, який ви хочете використовувати для введення.
752466123	Увімкає вібрацію контролера.
1419415249	Вийшов
1458532162	{0} вийшов із системи. Повернення до головного меню.
1575082279	Змінено користувача
306408042	Переключено на профіль {0}. Повернення до головного меню.
1429086435	(+{0} більше)
1409730632	Натисніть будь-яку клавішу, щоб почати
648045773	Очікування PlayStation™Store
442800743	Очікування Microsoft Store
128141297	Сталася помилка мережі.
681487417	Налаштування відео
1052460126	Налаштування ігрового процесу
2087751746	Налаштування звуку
25224588	Дані завантаження
1739078801	Макет введення
442535890	Збережена гра пошкоджена. Місія буде перезапущена.
830724165	Налаштування відстеження очей
75518517	Недостатньо доступного місця. Будь ласка, звільніть більше місця, щоб зберегти гру.
1883515290	Щоб отримати повний огляд усіх прив’язаних дій, перейдіть до Параметрів і відкрийте меню Керування
1865076062	Брифінг Субтитри
1993831770	Субтитри розмови
181097058	Зміна
2120229012	Натисніть {0}, щоб завантажити останнє швидке збереження
1659245168	Завантажити
529741173	Розділ І
213395621	Розділ ІІ
1849150576	Розділ III
396044400	Загальна статистика
42023172	Перегляд повторів
1655725184	Навчання
943246456	Зберегти повтор
1893463442	Сторожовий пункт
1469139790	Режим відстеження камери
259250595	Стандарт: немає автоматичного слідування, лише за допомогою дії вручну./nЗавжди: тримає камеру в центрі лідера.
2096575592	Стандарт
652460590	Розумний
1820430346	Завжди
1459237052	Субтитри катсцен
1076145211	Субтитри героїв
310268606	Субтитри
348832845	ПОРАДИ
1514049626	Підказки
163742262	Усі навички та персонажі мають підказки. Вони можуть допомогти вам відкрити нові стратегії.
605453809	Нелетальні атаки ближнього бою
482668800	Усі атаки ближнього бою мають нелетальний варіант. Натисніть <hotkey>{0}</hotkey>, щоб переключитися на нелетальний режим, або скористайтеся модифікатором на панелі навичок.
1798452257	Усі атаки ближнього бою мають нелетальний варіант. Утримуйте <hotkey>{0}</hotkey>, щоб відкрити колесо персонажів, і натисніть <hotkey>{1}</hotkey>, щоб переключатися між режимами.
1907007791	Нелетальні стрибкові атаки
124657665	Коли ваша атака ближнього бою перемикається на несмертельну, стрибки на охоронців виб’ють їх, а не вбивають.
949271593	Перенесення тіл
1671046303	Персонажі по-різному несуть тіла. Деякі акцентують увагу на швидкості; інші тримаються близько до землі, щоб уникнути виявлення.
1628782004	Убий і неси
1344684890	Утримуйте <hotkey>{0}</hotkey>, коли наказуєте вбити в ближньому бою, щоб автоматично забрати тіло.
1476567941	Утримуйте <hotkey>{0}</hotkey> під час вбивства в ближньому бою, щоб автоматично забрати тіло.
520060613	Маркер поля огляду
3333633	Не поспішайте перевіряти точку за допомогою маркера поля огляду. Деякі охоронці мають довгі маршрути патрулювання.
822402292	Хайлайтер
890170653	Натисніть <hotkey>{0}</hotkey>, щоб виділити ворогів і інтерактивні об’єкти в середовищі.
63047757	Натисніть <hotkey>{0}</hotkey>, щоб виділити ворогів і інтерактивні об’єкти в середовищі.
137001150	Навколишнє середовище вбиває
1981927858	Якщо охоронець загине від падіння предмета, його смерть буде виглядати як нещасний випадок, тому ніхто не буде бити тривогу.
1066015511	Типи ворогів
1716596328	Наведіть курсор на охоронців, щоб побачити їх тип.
739816734	Утримуйте <hotkey>{0}</hotkey> і наведіть курсор на охоронців, щоб побачити їх тип.
570427210	Важливі об'єкти
1536012121	Наведіть курсор на важливі об’єкти, щоб побачити їх функції.
656570826	Утримуйте <hotkey>{0}</hotkey> і перемістіть курсор над взаємодіючими об’єктами, щоб побачити їх функції.
545151036	Поворот камери
68323806	Утримуйте <hotkey>{0}</hotkey> і рухайте мишею, щоб вільно обертати камеру.
573759884	Утримуйте <hotkey>{0}</hotkey> і використовуйте <hotkey>{1}</hotkey>, щоб вільно повертати камеру.
141599116	Скидання камери
1856158476	Натисніть <hotkey>{0}</hotkey>, щоб відцентрувати камеру на вибраному персонажі та скинути обертання камери до стандартного значення.
490202928	Потрапляння в поле огляду
751421264	Не бійтеся потрапити у кут огляду ворога, якщо це необхідно. Якщо ви встигнене покинути його досить швидко - вас не помітять.
1535817616	Слідування за полем огляду
1992853863	Спробуйте стежити за кутом огляду ворога, щоб проскочити непоміченим. Слідкуйте за ним, коли він віддаляється від вас, а потім швидко сховайтеся.
549877002	Приховування тіл
1937082586	Ховайте тіла в кущах, колодязях або глибокій воді, щоб позбутися їх назавжди.
1636080378	Перемикання дій
1155856873	Натисніть <hotkey>{0}</hotkey>, щоб переключатися між кількома діями, доступними з вашої позиції.
1245857298	Скасування дій
890799486	Натисніть <hotkey>{0}</hotkey>, щоб вибрані персонажі зупинили всі поточні дії.
1007969175	Зброя та боєприпаси
1834588216	Зброя дуже потужна, тому не бійтеся її використовувати. Шукайте ящики з набоями.
1763635777	Стрільба
1226007028	Використання навичок володіння вогнепальною зброєю, крім Снайпера, зробить вас ненадовго помітними навіть під час присідання.
1714326839	Швидкий вибір
187751512	Ви можете швидко переходити між навичками, натискаючи <hotkey>{0}</hotkey>. Те саме працює з <hotkey>{1}</hotkey> для персонажів.
264685370	Скидання тіл (Гектор)
76879622	Гектор може нести два тіла одночасно, навіть під час бігу.
858462126	Скидання тіл(Швидкий скид)
1778643117	Переносячи мертве тіло, натисніть <hotkey>{0}</hotkey>, щоб присісти та негайно скинути його.
1824651014	Миттєве використання навичок
2122441486	Утримуйте <hotkey>{0}</hotkey>, щоб швидко виконати навички, які не потребують прицілювання (наприклад, пастка Гектора).
1607957211	Налаштування інтерфейсу користувача
2063046262	Ви можете налаштувати інтерфейс користувача в меню параметрів і вимкнути такі елементи, як нагадування про збереження гри.
243581491	Ящики для боєприпасів
1372447036	Якщо вам потрібні кулі чи інші форми боєприпасів, шукайте ящики з припасами в оточенні.
1971425251	Плащі
821076907	Плащі мають імунітет до певних атак, як-от ножа Купера, газу Маккоя чи ведмежої пастки Гектора.
1119380193	Здоров'я Плащів
988394871	Плащі мають три одиниці здоров'я. Якщо ближній бій дійде штовхання, ви можете ошелешети його стріляниною.
1235072996	Сліди як приманка
734938354	Йдучи по багнюці, ви можете використовувати свої сліди, щоб заманити ворогів у пастки чи засідки.
822878847	Сліди і втеча
1971769156	Якщо охоронець йде за вашими слідами, ви можете піднятися по драбині або пройти через будівлі, щоб зрізати свої сліди.
1050777356	Гасіння світла
63767177	Ви можете поставити невеликі джерела світла, наприклад лампи та смолоскипи. Охоронці запалять їх, коли побачать.
1615453610	Тіла як принади
126865505	Ви можете використовувати мертве тіло, щоб заманити іншого охоронця до його загибелі. Просто переконайтеся, що ви вивели їх, перш ніж вони підняли тривогу.
1685026057	Дугові траєкторії наведення
1810398782	Деякі навички рухаються по дузі, що означає, що їх можна використовувати з укриття та проходити через перешкоди.
863688220	Прямі маршрути наведення
638419450	Деякі навички рухаються по прямій лінії. Якщо ціль заблокована з поля зору, ваш персонаж шукатиме краще місце для застосування навички.
298907312	Виявлення приманки
1903469107	Перший охоронець, який помітить приманку (наприклад, валізу Маккоя), залишить свій пост, щоб забрати її, навіть якщо інші також можуть її побачити. Патрулі завжди рухаються разом.
778842893	Окуповані будівлі
1438210843	Ваші персонажі не можуть входити в будівлі з ворогами всередині.
470739778	Втеча
1020868379	Вороги не можуть лазити по виноградних лозах або перестрибувати прогалини. Використовуйте ці переваги, намагаючись втекти.
1108269139	Куточок ока
1137613639	Вороги можуть помітити вас краєм очей, якщо ви довго стоїте поруч з ними.
1338931543	Лампи як приманки
509385294	Ви можете використовувати погаслі лампи, щоб заманити ворогів у пастки або засідки.
158140971	Охоронці з лампами
1255254891	Якщо ви вбиваєте охоронця дистанційною атакою, лампа, яку вони носять, не згасне. Підійдіть до лампи, щоб загасити її.
2070314948	Цивільне населення
210762969	Звичайні цивільні не нападуть на вас, але якщо вони побачать, що ви порушуєте закон, вони втечуть і приведуть найближчого охоронця.
2142535667	Режим Планування
2088413710	Режим Планування — потужний інструмент для налаштування одночасних дій. Спробуйте, якщо ви застрягли у складній ситуації.
934714147	Режим Планування Снайпер
312206160	У режимі Планування не забувайте про МакКоя. Його навичка Снайпер вимагає невеликої корективи але може вбивати ворогів з безпечної відстані.
2119107841	Режим Планування "Киця"
1433267486	У режимі Планування "Киця" Ізабель чекатиме біля своєї цілі, щоб дію можна було виконати без затримки.
269943082	Золота куля
410699328	МакКой завжди збереже додаткову кулю для завдань місії. Не хвилюйтеся, що ви провалите місію через те, що у вас закінчилися патрони.
1568979145	Зняття маскування
471953919	Утримуйте <hotkey>{0}</hotkey>, щоб вручну зняти маскування Кейт.
1773294443	Розблокування значків
1758401545	Розблокуйте значки, виконуючи певні випробування або виконуючи місії за певних умов.
2100745183	Значки та рівень складності
1881388511	Значки можна розблокувати під час гри на нормальному рівні складності або вище.
1816057841	Типи значків
2112292041	Маленькі значки – це перевірка навичок, як-от час проходження або кількість втрат на рівні. Великі значки вимагатимуть від вас проходити рівні так, як ви не очікували.
824582774	Команда розробки
1561875126	Деякі вороги названі на честь розробників. Зможете знайти їх усіх?
1154773630	Складність зміни
512149738	Ви не можете змінити складність під час виконання місії.
31059294	Налаштування елементів керування
1048689626	Ви можете налаштувати схему керування та різні параметри ігрового процесу в меню параметрів.
1220564156	Мультивибір персонажів
1610317847	Утримуйте <hotkey>{0}</hotkey> і перетягніть рамку над усіма персонажами, яких потрібно вибрати. Або, утримуйте <hotkey>{1}</hotkey> і натисніть <hotkey>{2}</hotkey> на портрети.
42793480	Утримуючи <hotkey>{0}</hotkey>, використовуйте <hotkey>{1}</hotkey>, щоб вибрати більше одного героя, або <hotkey>{2}</hotkey>, щоб вибрати всіх доступних. Ви будете керувати першим вибраним персонажем. Інші підуть за ними.
1356113339	Кілька точок шляху
1387195571	Утримуйте <hotkey>{0}</hotkey> і використовуйте <hotkey>{1}</hotkey>, щоб установити кілька маршрутних точок для персонажів.
2070609971	Режим зору
878634208	Утримуйте <hotkey>{0}</hotkey>, щоб увійти в режим бачення та вибрати ворожі кути огляду. Перебуваючи в режимі огляду, ви також можете встановити маркер кута огляду, відобразити зони тривоги або скористатися швидким перемотуванням вперед, щоб скоротити час очікування.
765451162	Перемотування вперед
1546069925	Утримуйте <hotkey>{0}</hotkey>, щоб перемотати ігровий процес вперед.
255324182	Утримуйте <hotkey>{0}</hotkey> і <hotkey>{1}</hotkey>, щоб перемотати ігровий процес вперед.
1188458775	Зони тривоги
2056027763	Використовуйте <hotkey>{0}</hotkey>, щоб відобразити зони тривоги та виділити будинки охорони. Якщо в зоні є будинок з охороною, під час тривоги звідти прибуде підкріплення. Якщо у будинку охорони немає, зона пофарбована в сірий колір.
260850587	Утримуйте <hotkey>{0}</hotkey> і використовуйте <hotkey>{1}</hotkey>, щоб відобразити зони тривоги та виділити сторожки охорони. Якщо в зоні є будиок з охороною, під час тривоги звідти прибуде підкріплення. Якщо у сторожці охорони немає, зона пофарбована в сірий колір.
1830410793	Говорячі охоронці та відволікання
886347188	Якщо двоє охоронців розмовляють, і один із них захищений від певних відволікаючих прийомів,тоді обидва захищені. Наприклад, якщо ви спробуєте виманити Головоріза, який розмовляє з Пончо, то останній стримає його.
66646900	Навички лікування
1806946441	Лікувальні навички, як-от бинти Маккоя, мають необмежена кількість, але їх застосування потребує деякого часу. Найкраще використовувати їх,коли навколо немає загроз.
1379027361	Відволікання в цивільних зонах
219606787	Якщо ви використовуєте відволікання в цивільній зоні, і хтось стає свідком цього, ця особа стає несприйнятливою до відволікання.
800642416	Значок шуму поза екраном
1716797887	Якщо хтось поза екраном перебуває в радіусі шуму ваших дій, він з’явиться на екрані як значок.
1509223741	Лінія наведення
768965028	Якщо шлях навички дальнього бою заблоковано, лінія націлювання стане частково червоною. Навички досягнуть своєї мети, лише якщо лінія повністю зелена.
710558629	Гарячі клавіші персонажів
1124360782	Ви можете вибрати своїх персонажів за допомогою гарячих клавіш, які відображаються поруч із їхніми портретами. Натисніть потрібну клавішу (1,2,3,4,5), щоб вибрати персону. Натисніть її ще раз, щоб акцентувати камеру на цьому персонажі.
461437642	Використання Слідкування камери
808795684	Використовуйте <hotkey>{0}</hotkey>, щоб камера слідувала за вашим персонажем, доки ви не перемістите камеру вручну.
94599441	Слідкуйте за режимами камери
753717552	Ви можете перемикати режими Слідкування камери у меню параметрів. «Стандартний» дозволяє максимально контролювати гравців.
907376899	Перетягування камери
2027724162	Утримуйте <hotkey>{0}</hotkey>, щоб перетягнути камеру.
876399661	Ніж
1749163056	Знищує ворога з близької відстані.
1589031175	Аперкот
1638963563	Вирубає ворога з близької відстані.
1031684057	Кольт 1851
567933229	Стріляйте у ворога з Кольта 1851. Може працювати в парі з Армійським револьвером.
943917545	Армійський револьвер
834457639	Стріляйте у ворога за допомогою Армійського револьвера . Може працювати в парі з Кольтом 1851 Морським.
1646673140	Фальшива монета
63345104	Киньте фальшиву монету, щоб створити шум. Вороги в зоні дії будуть дивитися в бік шуму.
1584617927	Метальний ніж
1371261109	Киньте ніж, щоб знищити ворога на великій відстані. Треба знову забрати.
1858999661	Метальний ніж
1109372431	Киньте ніж, щоб знищити ворога на великій відстані. Треба знову забрати.
1881764354	Сокира
1636874639	Зарубайте ворога з близької відстані. Діє на Плащів.
1879142254	Кувалди
771797553	Вирубити ворога з близької відстані. Діє на Плащів.
1245144391	Бьянка
1307582697	Поставити Бьянку (пастка для ведмедів). Вбиває першого ворога, який наступить на неї. Треба знову забрати.
1246149011	Свист
823392386	Свист привертає увагу. Вороги в області дії перемістяться до розташування Гектора.
1909121017	Міцна річ
473693194	Зробіть ковток, щоб вилікувати Гектора. Надто міцна для інших.
2029916213	Обріз
930899656	Стріляйте у ворогів картеччю. Вражає всі цілі в межах кута шкоди.
2030315960	Флакон з болотним газом
1935924802	Всі вороги у радіусі дії газу знепритомніють. Але Плащів газ лише дезорієнтує.
2008559261	Шприц
439476221	Знищити ворога з близької відстані.
577578858	Хлороформ
1468800898	Вирубить ворога з близької відстані.
652519200	Кольт Бантлайн Спешиал
944782434	Стріляйте по ворогу за допомогою Кольт Бантлайн Спешиал. Далекий, і досить тихий.
1992836515	Сумка Доктора
1392794492	Киньте сумку Дока, як приманку. Перший ворог, який її помітить, підійде до неї. Коли він відкриє сумку його засліпть на короткий час.
308968697	Бинти
596884874	Вилікуйте себе або союзника.
2090032874	Перевдягання
1951322218	Вдягніть інше вбрання, щоб обдурити ворогів. Будучи поміченою під час підозрілих дій, маскування розкривається.
581063006	Звабити
1332211106	Відманити ворога від його позиції.
706585068	Флірт
73015201	Фліртуйте з ворогом, щоб утримати його погляд на вас.
1107428992	Нижче пояса
1155721602	Вирубіть ворога з близької відстані.
1810692848	Деррінджер
750399255	Стріляйте у ворога зі свого Деррінджеру. Середньодній діапазон, майже безшумний.
1222475897	Парфуми
342608998	Киньте флакон з духами це змусить ворогів чхнути і ненадовго засліпить їх.
1986695873	Серп
1125828588	Знищити ворога з близької відстані.
1431956252	Удар
1300156090	Вирубити ворога з близької відстані.
1770076751	Дротик
465512209	Зв'яжіть душі двох. Те що відбувається з одним, відбувається і з іншим.
2145567661	Вуду
321059560	Пожертвуйте одним ХП, щоб взяти під контроль ціль. Використання іншого навику або переміщення цілі за межі діапазону призведе до припинення контролю розуму.
